country,summary,country_code(ISO3166),area(sq_km),commencement,continent,languages,no_of_language,vitality,families
Croatia,"Croatia is a country in Europe that is home to 4,082,000 people. It is also home to 7 living indigenous languages. One of these, Croatian, is the official language of the country. Another, Italian, is an official language in part of the country. Croatia was also home to 1 indigeneous language that is now extinct. In addition, 12 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",HR,55960,1992,Europe,"dict_keys(['Chakavian', 'Croatian', 'Croatian_Sign_Language', 'Dalmatian', 'Istriot', 'Istro_Romanian', 'Italian', 'Ruthenian'])",8,"['Institutional', '2', 'Stable', '2', 'Endangered', '3', 'Extinct', '1']","dict_keys(['Indo-European', 'Sign language'])"
Cuba,"Cuba is a country in the Americas that is home to 11,182,000 people. It is also home to 2 living indigenous languages. In addition, 1 non-indigenous language, Spanish, is established within the country. It is the official language.",CU,106440,1945,North America,"dict_keys(['Cuban_Sign_Language', 'Lucumi'])",2,"['Institutional', '0', 'Stable', '1', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Niger-Congo', 'Sign language'])"
Cyprus,"Cyprus is a country in Asia that is home to 1,207,000 people. It is also home to 2 living indigenous languages. One of these, Turkish, is an official language in part of the country. In addition, 5 living non-indigenous languages are established within the country. One of these, Greek, is the official language of the country. In formal education, 2 indigenous languages are used as languages of instruction.",CY,9240,1960,Europe,"dict_keys(['Cypriot_Spoken_Arabic', 'Turkish'])",2,"['Institutional', '1', 'Stable', '0', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Afro-Asiatic', 'Turkic'])"
Czechia,"Czechia is a country in Europe that is home to 10,705,000 people. It is also home to 5 living indigenous languages. One of these, Czech, is the official language of the country. Czechia was also home to 1 indigeneous language that is now extinct. In addition, 7 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",CZ,77240,1993,Europe,"dict_keys(['Carpathian_Romani', 'Czech', 'Czech_Sign_Language', 'Knaanic', 'Polish', 'Standard_German'])",6,"['Institutional', '1', 'Stable', '3', 'Endangered', '1', 'Extinct', '1']","dict_keys(['Indo-European', 'Sign language'])"
Democratic_Repulic_of_the_Congo,"The Democratic Republic of the Congo is a country in Africa that is home to 92,378,000 people. It is also home to 210 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 5 living non-indigenous languages are established within the country. One of these, French, is the official language of the country. In formal education, 5 indigenous languages are used as languages of instruction.",CD,2267050,1964,Africa,"dict_keys(['Alur', 'Amba', 'Asoa', 'Aushi', 'Avokaya', 'Babango', 'Baka', 'Bali', 'Baloi', 'Bamwe', 'Bangala', 'Bangba', 'Bangi', 'Bangubangu', 'Barambu', 'Beeke', 'Bemba', 'Bembe', 'Bendi', 'Bhele', 'Bila', 'Binji', 'Bira', 'Boguru', 'Boko', 'Bolia', 'Boloki', 'Bolondo', 'Boma', 'Bomboli', 'Bomboma', 'Bozaba', 'Budu', 'Budza', 'Buraka', 'Bushoong', 'Buyu', 'Bwa', 'Bwela', 'Bwile', 'Chokwe', 'Congo_Swahili', 'Dengese', 'Ding', 'Dongo', 'Dzando', 'Eboo_Teke', 'Efe', 'Enya', 'Foma', 'Fuliiru', 'Furu', 'Gbanziri', 'Gilima', 'Gobu', 'Hamba', 'Havu', 'Hema', 'Hemba', 'Holoholo', 'Holu', 'Hunde', 'Hungana', 'Ibali_Teke', 'Iyansi', 'Kabwari', 'Kaiku', 'Kakwa', 'Kaliko', 'Kango', 'Kanu', 'Kanyok', 'Kaonde', 'Kari', 'Kela', 'Kele', 'Kete', 'Kinyarwanda', 'Kituba', 'Kiviila', 'Kiyombe', 'Kobo', 'Komo', 'Konzo', 'Koongo', 'Kpala', 'Kusu', 'Kwami', 'Kwese', 'Lala-Bisa', 'Lalia', 'Lamba', 'Langbashe', 'Lega-Mwenga', 'Lega-Shabunda', 'Lele', 'Lendu', 'Lengola', 'Lese', 'Libinza', 'Ligenza', 'Lika', 'Likila', 'Lingala', 'Lobala', 'Logo', 'Lombi', 'Lombo', 'Lonzo', 'Luba-Kasai', 'Luba-Katanga', 'Lugbara', 'Luna', 'Lunda', 'Lusengo', 'Lwalu', 'Lwel', 'Ma', 'Mabaale', 'Mamvu', 'Mangbetu', 'Mangbutu', 'Mayeka', 'Mayogo', 'Mba', 'Mbala', 'Mbandja', 'Mbesa', 'Mbo', 'Mbole', 'Mbuun', 'Mfinu', 'Mid-Southern_Banda', 'Mituku', 'Moingi', 'Mongo-Nkundu', 'Mono', 'Monzombo', 'Mvuba', 'Mündü', 'Nande', 'Ndaka', 'Ndo', 'Ndobo', 'Ndolo', 'Ndrulo', 'Ndunga', 'Ngando', 'Ngbaka', 'Ngbaka_Mabo', 'Ngbee', 'Ngbinda', 'Ngbundu', 'Ngelima', 'Ngiti', 'Ngombe', 'Ngongo', 'Ngundu', 'Ngwii', 'Nkutu', 'Northern_Ngbandi', 'Ntomba', 'Nyali', 'Nyanga', 'Nyanga-li', 'Nyindu', 'Nzadi', 'Nzakara', 'Ohendo', 'Ombo', 'Omi', 'Pagibete', 'Pambia', 'Pelende', 'Phende', 'Poke', 'Ruund', 'Sakata', 'Salampasu', 'Samba', 'San_Salvador_Kongo', 'Sanga', 'Seba', 'Sengele', 'Sere', 'Shi', 'So', 'Sonde', 'Songe', 'Songo', 'Songoora', 'Southern_Ngbandi', 'Suku', 'Taabwa', 'Tagbu', 'Talinga-Bwisi', 'Tembo', 'Tetela', 'Tiene', 'Togbo-Vara_Banda', 'Vanuma', 'Wongo', 'Yaka', 'Yamongeri', 'Yango', 'Yela', 'Zande', 'Zimba', 'Zula'])",209,"['Institutional', '6', 'Stable', '160', 'Endangered', '44', 'Extinct', '1']","dict_keys(['Niger-Congo', 'Nilo-Saharan', 'Creole'])"
Denmark,"Denmark is a country in Europe that is home to 5,873,000 people. It is also home to 3 living indigenous languages. One of these, Danish, is the official language of the country. Denmark was also home to 1 indigeneous language that is now extinct. In addition, 4 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",DK,42430,1945,Europe,"dict_keys(['Danish', 'Danish_Sign_Language', 'Standard_German', 'Traveller_Danish'])",4,"['Institutional', '1', 'Stable', '2', 'Endangered', '0', 'Extinct', '1']","dict_keys(['Indo-European', 'Mixed language', 'Sign language'])"
Djibouti,"Djibouti is a country in Africa that is home to 976,100 people. It is also home to 2 living indigenous languages. In addition, 3 living non-indigenous languages are established within the country. Two of these, French and Standard Arabic, are the official languages of the country.",DJ,23180,1977,Africa,"dict_keys(['Afar', 'Somali'])",2,"['Institutional', '0', 'Stable', '2', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Afro-Asiatic'])
Dominica,"Dominica is a country in the Americas that is home to 74,600 people. It is also home to 1 living indigenous language, Lesser Antillean French Creole. It was also home to 1 indigeneous language that is now extinct. In addition, 4 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",DM,750,1978,North America,"dict_keys(['Island_Carib', 'Lesser_Antillean_French_Creole'])",2,"['Institutional', '0', 'Stable', '0', 'Endangered', '1', 'Extinct', '1']","dict_keys(['Creole', 'Maipurean'])"
Dominican_Republic,"The Dominican Republic is a country in the Americas that is home to 10,848,000 people. It is also home to 1 living indigenous language, Dominican Sign Language. In addition, 4 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",DO,48320,1945,North America,dict_keys(['Dominican_Sign_Language']),1,"['Institutional', '0', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Sign language'])
Ecuador,"Ecuador is a country in the Americas that is home to 17,968,000 people. It is also home to 21 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 3 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",EC,248360,1945,South America,"dict_keys(['Achuar-Shiwiar', 'Awa-Cuaiquer', 'Calderón_Highland_Quichua', 'Cañar_Highland_Quichua', 'Chachi', 'Chimborazo_Highland_Quichua', 'Cofán', 'Ecuadorian_Sign_Language', 'Imbabura_Highland_Quichua', 'Loja_Highland_Quichua', 'Media_Lengua', 'Napo_Lowland_Quichua', 'Northern_Pastaza_Quichua', 'Paicoca', 'Salasaca_Highland_Quichua', 'Shuar', 'Siona', 'Tena_Lowland_Quichua', 'Tetete', 'Tsafiki', 'Waorani', 'Záparo'])",22,"['Institutional', '0', 'Stable', '9', 'Endangered', '12', 'Extinct', '1']","dict_keys(['Quechuan', 'Barbacoan', 'Tucanoan', 'Jivaroan', 'Language isolate', 'Mixed language', 'Sign language', 'Zaparoan'])"
Egypt,"Egypt is a country in Africa that is home to 104,258,000 people. It is also home to 9 living indigenous languages. In addition, 11 living non-indigenous languages are established within the country. One of these, Standard Arabic, is the official language of the country.",EG,995450,1945,Africa,"dict_keys(['Bedawiyet', 'Coptic', 'Eastern_Egyptian_Bedawi_Spoken_Arabic', 'Egyptian_Sign_Language', 'Egyptian_Spoken_Arabic', 'Mattokki', 'Sa idi_Spoken_Arabic', 'Siwi', 'Western_Egyptian_Bedawi_Spoken_Arabic'])",9,"['Institutional', '1', 'Stable', '6', 'Endangered', '2', 'Extinct', '0']","dict_keys(['Afro-Asiatic', 'Nilo-Saharan', 'Sign language'])"
El_Salvador,"El Salvador is a country in the Americas that is home to 6,569,000 people. It is also home to 2 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 4 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",SV,20720,1945,North America,"dict_keys(['Cacaopera', 'Nahuat', 'Salvadoran_Sign_Language'])",3,"['Institutional', '1', 'Stable', '0', 'Endangered', '1', 'Extinct', '1']","dict_keys(['Misumalpan', 'Sign language', 'Uto-Aztecan'])"
Equatorial_Guinea,"Equatorial Guinea is a country in Africa that is home to 1,497,000 people. It is also home to 12 living indigenous languages. In addition, 3 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",GQ,28050,1968,Africa,"dict_keys(['Bapuku', 'Benga', 'Bube', 'Equatorial_Guinean_Pidgin', 'Fa_d Ambu', 'Fang', 'Gyele', 'Iyasa', 'Kombe', 'Kwasio', 'Molengue', 'Seki'])",12,"['Institutional', '2', 'Stable', '4', 'Endangered', '6', 'Extinct', '0']","dict_keys(['Niger-Congo', 'Creole'])"
Eritrea,"Eritrea is a country in Africa that is home to 3,662,000 people. It is also home to 9 living indigenous languages. In addition, 6 living non-indigenous languages are established within the country. One of these, Standard Arabic, is the official language of the country. In formal education, 8 indigenous languages are used as languages of instruction.",ER,101000,1993,Africa,"dict_keys(['Afar', 'Bedawiyet', 'Bilen', 'Dahalik', 'Kunama', 'Nara', 'Saho', 'Tigrigna', 'Tigré'])",9,"['Institutional', '8', 'Stable', '0', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Afro-Asiatic', 'Nilo-Saharan'])"
Estonia,"Estonia is a country in Europe that is home to 1,325,000 people. It is also home to 3 living indigenous languages. One of these, Standard Estonian, is the official language of the country. In addition, 7 living non-indigenous languages are established within the country. In formal education, 1 indigenous language is used as a language of instruction.",EE,42390,1991,Europe,"dict_keys(['Estonian_Sign_Language', 'Standard_Estonian', 'Võro'])",3,"['Institutional', '1', 'Stable', '1', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Uralic', 'Sign language'])"
Eswatini,"Eswatini is a country in Africa that is home to 1,160,000 people. It is also home to 1 living indigenous language, Swati. It is an official language of the country. In addition, 4 living non-indigenous languages are established within the country. One of these, English, is also an official language of the country. In formal education, 1 indigenous language is used as a language of instruction.",SZ,17200,1968,Africa,dict_keys(['Swati']),1,"['Institutional', '1', 'Stable', '0', 'Endangered', '0', 'Extinct', '0']",dict_keys(['Niger-Congo'])
Ethiopia,"Ethiopia is a country in Africa that is home to 117,876,000 people. It is also home to 87 living indigenous languages. One of these, Amharic, is the official language of the country. Another, Afar, is an official language in part of the country. Ethiopia was also home to 2 indigenous languages that are now extinct. In addition, 5 living non-indigenous languages are established within the country. In formal education, 31 indigenous languages are used as languages of instruction.",ET,1000000,1945,Africa,"dict_keys(['Aari', 'Afar', 'Alaba-K abeena', 'Ale', 'Amharic', 'Anfillo', 'Anuak', 'Arbore', 'Argobba', 'Awngi', 'Baiso', 'Basketo', 'Bench', 'Berta', 'Borana-Arsi-Guji_Oromo', 'Borna', 'Burji', 'Chara', 'Daasanach', 'Daatsíin', 'Dawro', 'Dime', 'Dirasha', 'Dizin', 'Dorze', 'Eastern_Oromo', 'Ethiopian_Sign_Language', 'Gafat', 'Gamo', 'Gayil', 'Gedeo', 'Geez', 'Girirra', 'Gofa', 'Gumuz', 'Gwama', 'Hadiyya', 'Hamer-Banna', 'Harari', 'Hozo', 'Inor', 'Kachama-Ganjule', 'Kacipo-Bale_Suri', 'Kafa', 'Kambaata', 'Karo', 'Kistane', 'Komo', 'Konso', 'Koorete', 'Kwegu', 'Libido', 'Majang', 'Male', 'Màwés_Aasè', 'Melo', 'Mesmes', 'Mesqan', 'Me en', 'Mositacha', 'Mursi', 'Nayi', 'Nuer', 'Nyangatom', 'Ongota', 'Opo', 'Oyda', 'Qimant', 'Rer_Bare', 'Saho', 'Sebat_Bet_Gurage', 'Seze', 'Shabo', 'Shekkacho', 'Sheko', 'Sidamo', 'Silt e', 'Somali', 'Tigrigna', 'Tirmaga-Chai_Suri', 'Tsamai', 'West_Central_Oromo', 'Weyto', 'Wolane', 'Wolaytta', 'Xamtanga', 'Yemsa', 'Zay', 'Zayse'])",89,"['Institutional', '30', 'Stable', '36', 'Endangered', '21', 'Extinct', '2']","dict_keys(['Afro-Asiatic', 'Nilo-Saharan', 'Unclassified', 'Sign language'])"
Fiji,"Fiji is a country in the Pacific that is home to 898,400 people. It is also home to 8 living indigenous languages. In addition, 7 living non-indigenous languages are established within the country. One of these, English, is the official language of the country. In formal education, 2 indigenous languages are used as languages of instruction.",FJ,18270,1970,Australia,"dict_keys(['Fiji_Hindi', 'Fijian', 'Gone_Dau', 'Lauan', 'Lomaiviti', 'Namosi-Naitasiri-Serua', 'Rotuman', 'Western_Fijian'])",8,"['Institutional', '2', 'Stable', '5', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Austronesian', 'Indo-European'])"
Finland,"Finland is a country in Europe that is home to 5,530,000 people. It is also home to 9 living indigenous languages. Two of these, Finnish and Swedish, are the official languages of the country. Finland was also home to 1 indigeneous language that is now extinct. In addition, 6 living non-indigenous languages are established within the country. In formal education, 4 indigenous languages are used as languages of instruction.",FI,303890,1955,Europe,"dict_keys(['Finland-Swedish_Sign_Language', 'Finnish', 'Finnish_Sign_Language', 'Inari_Saami', 'Kalo_Finnish_Romani', 'Kemi_Saami', 'Meänkieli', 'North_Saami', 'Skolt_Saami', 'Swedish'])",10,"['Institutional', '2', 'Stable', '3', 'Endangered', '4', 'Extinct', '1']","dict_keys(['Uralic', 'Indo-European', 'Sign language'])"
France,"France is a country in Europe that is home to 67,380,000 people. It is also home to 15 living indigenous languages. One of these, French, is the official language of the country. France was also home to 1 indigeneous language that is now extinct. In addition, 18 living non-indigenous languages are established within the country. In formal education, 3 indigenous languages are used as languages of instruction.",FR,547557,1945,Europe,"dict_keys(['Alsatian', 'Arpitan', 'Basque', 'Breton', 'Catalan', 'Corsican', 'Erromintxela', 'French', 'French_Sign_Language', 'Ligurian', 'Lorraine_Franconian', 'Luxembourgish', 'Occitan', 'Picard', 'Shuadit', 'West_Flemish'])",16,"['Institutional', '1', 'Stable', '5', 'Endangered', '9', 'Extinct', '1']","dict_keys(['Indo-European', 'Language isolate', 'Mixed language', 'Sign language'])"
Gabon,"Gabon is a country in Africa that is home to 2,233,000 people. It is also home to 40 living indigenous languages. In addition, 3 living non-indigenous languages are established within the country. One of these, French, is the official language of the country.",GA,257670,1960,Africa,"dict_keys(['Baka', 'Barama', 'Bekwel', 'Benga', 'Bubi', 'Bwisi', 'Duma', 'Eviya', 'Fang', 'Kande', 'Kaningi', 'Kota', 'Kélé', 'Lumbu', 'Mahongwe', 'Mbangwe', 'Mbere', 'Myene', 'Ndambomo', 'Ndasa', 'Ndumu', 'Ngom', 'Njebi', 'Pinji', 'Punu', 'Sake', 'Samay', 'Sangu', 'Seki', 'Sighu', 'Simba', 'Sira', 'Tchitchege', 'Teke-Tege', 'Tsaangi', 'Tsogo', 'Vili', 'Vumbu', 'Wandji', 'Wumbvu'])",40,"['Institutional', '0', 'Stable', '16', 'Endangered', '24', 'Extinct', '0']",dict_keys(['Niger-Congo'])
Gambia,"The Gambia is a country in Africa that is home to 2,413,000 people. It is also home to 7 living indigenous languages. In addition, 5 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",GM,10120,1965,Africa,"dict_keys(['Gambian_Wolof', 'Jola-Fonyi', 'Mandinka', 'Mandjak', 'Pulaar', 'Serer-Sine', 'Western_Maninkakan'])",7,"['Institutional', '2', 'Stable', '4', 'Endangered', '1', 'Extinct', '0']",dict_keys(['Niger-Congo'])
Georgia,"Georgia is a country in Asia that is home to 3,729,000 people. It is also home to 16 living indigenous languages. One of these, Georgian, is the official language of the country. Another, Abkhaz, is an official language in part of the country. In addition, 6 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",GE,69490,1992,Asia,"dict_keys(['Abkhaz', 'Avar', 'Bats', 'Bezhta', 'Bohtan_Neo-Aramaic', 'Dido', 'Georgian', 'Hunzib', 'Laz', 'Mingrelian', 'North_Azerbaijani', 'Ossetic', 'Russian', 'Svan', 'Urum', 'Western_Armenian'])",16,"['Institutional', '3', 'Stable', '4', 'Endangered', '9', 'Extinct', '0']","dict_keys(['Nakh-Daghestanian', 'Kartvelian', 'Indo-European', 'Turkic', 'Abkhaz-Adyghe', 'Afro-Asiatic'])"
Germany,"Germany is a country in Europe that is home to 83,222,000 people. It is also home to 19 living indigenous languages. One of these, Standard German, is the official language of the country. Germany was also home to 1 indigeneous language that is now extinct. In addition, 9 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",DE,348560,1973,Europe,"dict_keys(['Alemannic', 'Danish', 'East_Frisian_Low_Saxon', 'Eastern_Franconian', 'German_Sign_Language', 'Low_Saxon', 'Lower_Sorbian', 'Luxembourgish', 'Northern_Frisian', 'Palatinate_Franconian', 'Polabian', 'Ripuarian', 'Saterfriesisch', 'Standard_German', 'Swabian', 'Upper_Saxon', 'Upper_Sorbian', 'Western_Yiddish', 'Westphalien', 'Yeniche'])",20,"['Institutional', '1', 'Stable', '11', 'Endangered', '7', 'Extinct', '1']","dict_keys(['Indo-European', 'Mixed language', 'Sign language'])"
Ghana,"Ghana is a country in Africa that is home to 31,073,000 people. It is also home to 73 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 10 living non-indigenous languages are established within the country. One of these, English, is the official language of the country. In formal education, 9 indigenous languages are used as languages of instruction.",GH,227540,1957,Africa,"dict_keys(['Abron', 'Adamorobe_Sign_Language', 'Adangbe', 'Adele', 'Ahanta', 'Akan', 'Akposo', 'Animere', 'Anufo', 'Anyin', 'Avatime', 'Awutu', 'Bimoba', 'Bisa', 'Bondoukou_Kulango', 'Boro', 'Buli', 'Chakali', 'Chala', 'Cherepon', 'Chumburung', 'Dagbani', 'Dangme', 'Deg', 'Delo', 'Dompo', 'Dwang', 'Esahie', 'Farefare', 'Ga', 'Ghanaian_Pidgin_English', 'Ghanaian_Sign_Language', 'Gikyode', 'Gonja', 'Gua', 'Hanga', 'Jwira-Pepesa', 'Kamara', 'Kantosi', 'Kasem', 'Konkomba', 'Konni', 'Kplang', 'Krache', 'Kusaal', 'Larteh', 'Lelemi', 'Ligbi', 'Logba', 'Mampruli', 'Nafaanra', 'Nawuri', 'Nchumbulu', 'Nkami', 'Nkonya', 'Ntcham', 'Nyagbo', 'Nzema', 'Paasaal', 'Safaliba', 'Sekpele', 'Selee', 'Siwu', 'Southern_Birifor', 'Southern_Dagaare', 'Tafi', 'Tampulma', 'Tumulung_Sisaala', 'Tuwuli', 'Vagla', 'Wali', 'Wasa', 'Western_Sisaala', 'Éwé'])",74,"['Institutional', '10', 'Stable', '55', 'Endangered', '8', 'Extinct', '1']","dict_keys(['Niger-Congo', 'Sign language', 'Creole'])"
Greece,"Greece is a country in Europe that is home to 10,543,000 people. It is also home to 14 living indigenous languages. One of these, Greek, is the official language of the country. Another, Turkish, is an official language in part of the country. In addition, 8 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",GR,128900,1945,Europe,"dict_keys(['Ancient_Greek', 'Aromanian', 'Arvanitika_Albanian', 'Bulgarian', 'Cappadocian_Greek', 'Greek', 'Greek_Sign_Language', 'Megleno_Romanian', 'Pontic', 'Romano-Greek', 'Slavic', 'Tosk_Albanian', 'Tsakonian', 'Turkish'])",14,"['Institutional', '2', 'Stable', '5', 'Endangered', '7', 'Extinct', '0']","dict_keys(['Indo-European', 'Mixed language', 'Sign language', 'Turkic'])"
Grenada,"Grenada is a country in the Americas that is home to 113,000 people. It is also home to 2 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 2 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",GD,340,1974,North America,"dict_keys(['Grenadian_English_Creole', 'Island_Carib', 'Lesser_Antillean_French_Creole'])",3,"['Institutional', '0', 'Stable', '1', 'Endangered', '1', 'Extinct', '1']","dict_keys(['Creole', 'Maipurean'])"
Guatemala,"Guatemala is a country in the Americas that is home to 17,703,000 people. It is also home to 25 living indigenous languages. It was also home to 1 indigeneous language that is now extinct. In addition, 1 non-indigenous language, Spanish, is established within the country. It is the official language. In formal education, 1 indigenous language is used as a language of instruction.",GT,107160,1945,North America,"dict_keys(['Achi', 'Akateko', 'Awakateko', 'Chicomuceltec', 'Chuj', 'Ch orti ', 'Garifuna', 'Guatemalan_Sign_Language', 'Itza ', 'Ixil', 'Jakalteko', 'Kaqchikel', 'Kaqchikel-K iche _Mixed_Language', 'K iche ', 'Mam', 'Mopán_Maya', 'Poqomam', 'Poqomchi ', 'Q anjob al', 'Q eqchi ', 'Sakapulteko', 'Sipakapense', 'Tektiteko', 'Tz utujil', 'Uspanteko', 'Xinca'])",26,"['Institutional', '0', 'Stable', '13', 'Endangered', '12', 'Extinct', '1']","dict_keys(['Mayan', 'Language isolate', 'Maipurean', 'Mixed language', 'Sign language'])"
Guinea,"Guinea is a country in Africa that is home to 13,238,000 people. It is also home to 35 living indigenous languages. It was also home to 2 indigenous languages that are now extinct. In addition, 2 living non-indigenous languages are established within the country. One of these, French, is the official language of the country.",GN,245720,1958,Africa,"dict_keys(['Badyara', 'Baga_Kaloum', 'Baga_Koga', 'Baga_Manduri', 'Baga_Pokur', 'Baga_Sitemu', 'Baga_Sobané', 'Bassari', 'Dan', 'East_Limba', 'Eastern_Maninkakan', 'Guinea_Kpelle', 'Guinean_Sign_Language', 'Jahanka', 'Kakabe', 'Kla-Dan', 'Kono', 'Konyanka_Maninka', 'Kuranko', 'Landoma', 'Lele', 'Mano', 'Manya', 'Mbulungish', 'Mogofin', 'Nalu', 'Northern_Kissi', 'N Ko', 'Pulaar', 'Pular', 'Sankaran_Maninka', 'Sarakolé', 'Susu', 'Toma', 'Wamey', 'Yalunka', 'Zialo'])",37,"['Institutional', '1', 'Stable', '26', 'Endangered', '8', 'Extinct', '2']","dict_keys(['Niger-Congo', 'Mixed language', 'Sign language'])"
Guinea-Bissau,"Guinea-Bissau is a country in Africa that is home to 1,968,000 people. It is also home to 19 living indigenous languages. In addition, 7 living non-indigenous languages are established within the country. One of these, Portuguese, is the official language of the country.",GW,28120,1974,Africa,"dict_keys(['Bainouk-Gunyuño', 'Balanta', 'Biafada', 'Bijagó', 'Fula', 'Futa_Fula', 'Guinea-Bissau_Creole', 'Guinea-Bissau_Sign_Language', 'Jola_Bayote', 'Jola-Felupe', 'Kanjad', 'Kasanga', 'Kobiana', 'Mandinka', 'Mandjak', 'Mankanya', 'Mansoanka', 'Nalu', 'Papel'])",19,"['Institutional', '1', 'Stable', '5', 'Endangered', '13', 'Extinct', '0']","dict_keys(['Niger-Congo', 'Creole'])"
Guyana,"Guyana is a country in the Americas that is home to 790,000 people. It is also home to 11 living indigenous languages. It was also home to 4 indigenous languages that are now extinct. In addition, 5 living non-indigenous languages are established within the country. One of these, English, is the official language of the country.",GY,196850,1966,South America,"dict_keys(['Akawaio', 'Atorada', 'Berbice_Dutch_Creole', 'Carib', 'Guyanese_English_Creole', 'Macushi', 'Mapidian', 'Mawayana', 'Patamona', 'Pemon', 'Skepi_Dutch_Creole', 'Taruma', 'Waiwai', 'Wapishana', 'Warao'])",15,"['Institutional', '0', 'Stable', '2', 'Endangered', '9', 'Extinct', '4']","dict_keys(['Cariban', 'Maipurean', 'Creole', 'Language isolate'])"
Haiti,"Haiti is a country in the Americas that is home to 11,403,000 people. It is also home to 2 living indigenous languages. One of these, Haitian Creole, is an official language of the country. In addition, 2 living non-indigenous languages are established within the country. One of these, French, is also an official language of the country. In formal education, 1 indigenous language is used as a language of instruction.",HT,27560,1945,North America,"dict_keys(['Haitian_Creole', 'Haitian_Vodoun_Culture_Language'])",2,"['Institutional', '1', 'Stable', '0', 'Endangered', '1', 'Extinct', '0']","dict_keys(['Creole', 'Unclassified'])"
Holy_see,"Vatican State is a country in Europe that is home to 800 people. It is also home to 1 living indigenous language, Latin. In addition, 1 non-indigenous language, Italian, is established within the country. It is the official language.",VA,0,1929,Europe,dict_keys(['Latin']),1,"['Institutional', '0', 'Stable', '0', 'Endangered', '1', 'Extinct', '0']",dict_keys(['Indo-European'])
Honduras,"Honduras is a country in the Americas that is home to 9,546,000 people. It is also home to 8 living indigenous languages. In addition, 2 living non-indigenous languages are established within the country. One of these, Spanish, is the official language of the country.",HN,111890,1945,North America,"dict_keys(['Ch orti ', 'Garifuna', 'Honduran_Sign_Language', 'Lenca', 'Mayangna', 'Mískito', 'Pech', 'Tol'])",8,"['Institutional', '0', 'Stable', '3', 'Endangered', '5', 'Extinct', '0']","dict_keys(['Misumalpan', 'Chibchan', 'Jicaquean', 'Lencan', 'Maipurean', 'Mayan', 'Sign language'])"
Hungary,"Hungary is a country in Europe that is home to 9,689,000 people. It is also home to 5 living indigenous languages. One of these, Hungarian, is the official language of the country. Hungary was also home to 2 indigenous languages that are now extinct. In addition, 15 living non-indigenous languages are established within the country. In formal education, 2 indigenous languages are used as languages of instruction.",HU,90530,1955,Europe,"dict_keys(['Chakavian', 'Hungarian', 'Hungarian_Sign_Language', 'Kuman', 'Slovak', 'Slovene', 'Yassic'])",7,"['Institutional', '2', 'Stable', '2', 'Endangered', '1', 'Extinct', '2']","dict_keys(['Indo-European', 'Sign language', 'Turkic', 'Uralic'])"
Iceland,"Iceland is a country in Europe that is home to 358,000 people. It is also home to 2 living indigenous languages. One of these, Icelandic, is the official language of the country. In addition, 1 living non-indigenous language is established within the country. In formal education, 1 indigenous language is used as a language of instruction.",IS,100250,1946,Europe,"dict_keys(['Icelandic', 'Icelandic_Sign_Language'])",2,"['Institutional', '1', 'Stable', '1', 'Endangered', '0', 'Extinct', '0']","dict_keys(['Indo-European', 'Sign language'])"
